"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","test_get_courses","tests.courses","Sat Apr 18 06:05:29 UTC 2026","passed","Sat Apr 18 06:05:29 UTC 2026","TestCourses","test_courses","",""
"","14","test_get_file","tests.files","Sat Apr 18 06:05:34 UTC 2026","passed","Sat Apr 18 06:05:34 UTC 2026","TestFiles","test_files","",""
"","277","test_update_exercise","tests.exercises","Sat Apr 18 06:05:31 UTC 2026","passed","Sat Apr 18 06:05:31 UTC 2026","TestExercise","test_exercises","",""
"","25","test_create_course","tests.courses","Sat Apr 18 06:05:30 UTC 2026","passed","Sat Apr 18 06:05:30 UTC 2026","TestCourses","test_courses","",""
"","505","Create user","LMS service","Sat Apr 18 06:05:36 UTC 2026","passed","Sat Apr 18 06:05:36 UTC 2026","Create entity","Users","",""
"","525","Create user","LMS service","Sat Apr 18 06:05:36 UTC 2026","passed","Sat Apr 18 06:05:37 UTC 2026","Create entity","Users","",""
"","232","test_get_file_with_incorrect_file_id","tests.files","Sat Apr 18 06:05:36 UTC 2026","passed","Sat Apr 18 06:05:36 UTC 2026","TestFiles","test_files","",""
"","15","test_get_exercises","tests.exercises","Sat Apr 18 06:05:33 UTC 2026","passed","Sat Apr 18 06:05:33 UTC 2026","TestExercise","test_exercises","",""
"","19","test_delete_file","tests.files","Sat Apr 18 06:05:35 UTC 2026","passed","Sat Apr 18 06:05:35 UTC 2026","TestFiles","test_files","",""
"","18","test_create_exercise","tests.exercises","Sat Apr 18 06:05:30 UTC 2026","passed","Sat Apr 18 06:05:30 UTC 2026","TestExercise","test_exercises","",""
"","272","test_delete_exercise","tests.exercises","Sat Apr 18 06:05:32 UTC 2026","passed","Sat Apr 18 06:05:32 UTC 2026","TestExercise","test_exercises","",""
"","240","test_create_file_with_empty_directory","tests.files","Sat Apr 18 06:05:35 UTC 2026","passed","Sat Apr 18 06:05:35 UTC 2026","TestFiles","test_files","",""
"","10","test_get_user_me","LMS service","Sat Apr 18 06:05:37 UTC 2026","passed","Sat Apr 18 06:05:37 UTC 2026","TestUsers","Users","",""
"","251","test_create_file","tests.files","Sat Apr 18 06:05:33 UTC 2026","passed","Sat Apr 18 06:05:33 UTC 2026","TestFiles","test_files","",""
"","270","Create user","LMS service","Sat Apr 18 06:05:36 UTC 2026","passed","Sat Apr 18 06:05:36 UTC 2026","Create entity","Users","",""
"","523","test_login","tests.authentication","Sat Apr 18 06:05:28 UTC 2026","passed","Sat Apr 18 06:05:28 UTC 2026","TestAuthentication","test_authentication","",""
"","248","test_create_file_with_empty_filename","tests.files","Sat Apr 18 06:05:34 UTC 2026","passed","Sat Apr 18 06:05:34 UTC 2026","TestFiles","test_files","",""
"","24","test_update_course","tests.courses","Sat Apr 18 06:05:29 UTC 2026","passed","Sat Apr 18 06:05:29 UTC 2026","TestCourses","test_courses","",""
"","14","test_get_exercise","tests.exercises","Sat Apr 18 06:05:32 UTC 2026","passed","Sat Apr 18 06:05:32 UTC 2026","TestExercise","test_exercises","",""
